Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo
7,3/25/2021,19:51:35,45 Opossum,1
7,3/25/2021,20:11:16,45 Opossum,1
7,3/25/2021,21:04:27,45 Opossum,1
7,3/25/2021,23:39:32,45 Opossum,1
29,3/25/2021,14:29:12,Bird,1
29,3/25/2021,13:57:51,Groundhog,1
29,3/25/2021,16:02:32,Groundhog,1
29,3/25/2021,21:46:34,45 Opossum,1
7,3/26/2021,9:41:20,Gray Squirrel,1
7,3/26/2021,9:48:44,Gray Squirrel,1
7,3/26/2021,17:01:06,Gray Squirrel,1
7,3/26/2021,17:16:50,Gray Squirrel,1
7,3/26/2021,21:25:34,45 Opossum,1
7,3/26/2021,21:52:28,45 Opossum,1
7,3/26/2021,23:46:06,45 Opossum,1
29,3/26/2021,11:29:22,Bird,1
29,3/26/2021,13:36:03,Bird,1
29,3/26/2021,14:34:19,Groundhog,1
29,3/26/2021,16:38:26,Groundhog,1
29,3/27/2021,22:54:50,White-tailed Deer,1
7,3/28/2021,20:02:36,45 Opossum,1
29,3/28/2021,16:31:06,Bird,1
29,3/28/2021,12:22:33,Groundhog,1
29,3/28/2021,19:36:01,White-tailed Deer,1
29,3/29/2021,13:00:26,Bird,1
29,3/29/2021,13:20:08,Bird,1
29,3/29/2021,15:27:33,White-tailed Deer,1
7,3/30/2021,20:21:32,45 Opossum,1
29,3/30/2021,8:20:50,Bird,1
29,3/30/2021,9:58:12,Bird,1
29,3/30/2021,12:39:06,Bird,1
29,3/30/2021,19:03:06,Bird,1
29,3/30/2021,14:27:53,Groundhog,1
29,3/30/2021,16:33:12,Groundhog,1
7,3/31/2021,16:53:46,Gray Squirrel,1
29,3/31/2021,10:39:28,Bird,1
29,3/31/2021,10:50:08,Bird,1
29,3/31/2021,11:40:31,Bird,1
29,3/31/2021,11:52:21,Bird,1
29,3/31/2021,18:42:36,Bird,1
29,3/31/2021,13:15:51,Groundhog,1
29,3/31/2021,14:29:58,Groundhog,1
29,3/31/2021,16:00:59,Groundhog,1
29,3/31/2021,17:05:17,Groundhog,1
7,4/1/2021,18:45:56,White-tailed Deer,1
7,4/1/2021,18:45:56,White-tailed Deer,1
29,4/1/2021,8:17:41,Bird,1
29,4/1/2021,12:27:18,Bird,1
29,4/1/2021,16:16:56,Bird,1
29,4/1/2021,12:14:06,Groundhog,1
29,4/1/2021,14:43:35,Groundhog,1
29,4/1/2021,15:49:18,Groundhog,1
29,4/1/2021,19:25:40,Groundhog,1
29,4/1/2021,23:39:00,Rat,1
29,4/1/2021,23:44:32,Rat,1
7,4/2/2021,16:45:20,Gray Squirrel,1
7,4/2/2021,20:03:09,45 Opossum,1
29,4/2/2021,11:49:39,Bird,1
29,4/2/2021,9:55:12,Gray Squirrel,1
29,4/2/2021,9:59:36,Groundhog,1
29,4/2/2021,12:02:34,Groundhog,1
29,4/2/2021,12:10:31,Groundhog,1
29,4/2/2021,23:46:23,White-tailed Deer,1
29,4/2/2021,10:29:49,Groundhog,3
7,4/3/2021,21:13:31,45 Opossum,1
29,4/3/2021,12:15:31,Bird,1
29,4/3/2021,13:08:53,White-tailed Deer,1
29,4/3/2021,20:14:00,White-tailed Deer,1
7,4/4/2021,22:25:58,45 Opossum,1
29,4/4/2021,11:39:37,Bird,1
29,4/4/2021,15:54:33,Bird,1
29,4/4/2021,17:12:36,Bird,1
29,4/4/2021,16:21:24,Groundhog,1
29,4/4/2021,17:01:43,Groundhog,1
29,4/4/2021,17:33:05,Groundhog,1
29,4/4/2021,12:22:20,White-tailed Deer,1
29,4/4/2021,13:00:31,White-tailed Deer,1
29,4/5/2021,14:18:47,Bird,1
29,4/5/2021,14:40:31,Bird,1
29,4/5/2021,15:20:34,Bird,1
29,4/5/2021,16:37:45,Bird,1
29,4/5/2021,19:30:50,Bird,1
29,4/5/2021,8:57:09,Groundhog,1
29,4/5/2021,13:14:40,Groundhog,1
29,4/5/2021,20:23:18,Groundhog,1
7,4/6/2021,21:34:27,45 Opossum,1
29,4/6/2021,9:24:26,Bird,1
29,4/6/2021,9:35:55,Bird,1
29,4/6/2021,10:30:29,Bird,1
29,4/6/2021,10:42:08,Bird,1
29,4/6/2021,11:33:54,Bird,1
29,4/6/2021,19:37:07,Bird,1
29,4/6/2021,8:36:10,Domestic Cat,1
29,4/6/2021,14:40:26,Groundhog,1
46,4/6/2021,23:22:38,Raccoon,1
48,4/6/2021,23:33:01,Raccoon,1
48,4/6/2021,23:39:23,45 Opossum,1
48,4/6/2021,23:46:11,45 Opossum,1
7,4/7/2021,18:58:32,White-tailed Deer,1
7,4/7/2021,23:53:30,White-tailed Deer,1
20,4/7/2021,9:45:42,Bird,1
21,4/7/2021,12:28:39,Bird,1
21,4/7/2021,17:13:40,Bird,1
21,4/7/2021,17:34:36,Bird,1
21,4/7/2021,18:30:40,Bird,1
21,4/7/2021,19:57:48,Bird,1
21,4/7/2021,11:40:13,Gray Squirrel,1
21,4/7/2021,11:46:36,Gray Squirrel,1
21,4/7/2021,15:45:49,Gray Squirrel,1
21,4/7/2021,16:11:07,Gray Squirrel,1
21,4/7/2021,17:49:49,Gray Squirrel,1
29,4/7/2021,11:15:49,Bird,1
29,4/7/2021,12:42:25,Bird,1
29,4/7/2021,15:32:36,Bird,1
29,4/7/2021,8:24:03,Domestic Cat,1
29,4/7/2021,23:20:50,Domestic Cat,1
29,4/7/2021,16:12:11,Groundhog,1
29,4/7/2021,19:18:30,Groundhog,1
48,4/7/2021,22:14:29,Raccoon,1
48,4/7/2021,22:03:29,45 Opossum,1
48,4/7/2021,22:52:34,45 Opossum,1
7,4/8/2021,21:33:10,45 Opossum,1
21,4/8/2021,17:43:23,Bird,1
21,4/8/2021,19:45:15,Bird,1
21,4/8/2021,10:22:47,Domestic Cat,1
21,4/8/2021,23:37:12,45 Opossum,1
29,4/8/2021,14:23:12,Bird,1
29,4/8/2021,15:05:07,Bird,1
29,4/8/2021,15:40:47,Bird,1
29,4/8/2021,10:31:29,Groundhog,1
29,4/8/2021,12:25:04,Groundhog,1
3,4/9/2021,13:32:00,Domestic Dog,1
3,4/9/2021,9:20:01,Gray Squirrel,1
3,4/9/2021,9:48:05,Gray Squirrel,1
3,4/9/2021,20:38:11,Rat,1
3,4/9/2021,22:02:55,Rat,1
21,4/9/2021,8:25:53,Bird,1
21,4/9/2021,9:13:53,Bird,1
21,4/9/2021,9:28:17,Bird,1
21,4/9/2021,11:02:30,Bird,1
21,4/9/2021,14:35:36,Bird,1
21,4/9/2021,17:13:43,Bird,1
21,4/9/2021,10:13:50,Domestic Cat,1
21,4/9/2021,8:08:58,Gray Squirrel,1
21,4/9/2021,8:39:10,Gray Squirrel,1
21,4/9/2021,14:49:29,Gray Squirrel,1
21,4/9/2021,15:03:40,Gray Squirrel,1
29,4/9/2021,8:23:57,Bird,1
29,4/9/2021,16:41:55,Bird,1
29,4/9/2021,17:59:02,Bird,1
29,4/9/2021,11:27:36,Domestic Dog,1
48,4/9/2021,22:31:47,45 Opossum,1
3,4/10/2021,19:19:38,Bird,1
3,4/10/2021,15:32:11,Domestic Dog,1
3,4/10/2021,15:41:58,Domestic Dog,1
3,4/10/2021,18:29:58,Gray Squirrel,1
3,4/10/2021,20:40:04,Rat,1
3,4/10/2021,20:49:29,Rat,1
3,4/10/2021,21:40:24,Rat,1
3,4/10/2021,21:57:02,Rat,1
3,4/10/2021,22:03:04,Rat,1
3,4/10/2021,22:11:53,Rat,1
3,4/10/2021,22:26:18,Rat,1
3,4/10/2021,22:33:27,Rat,1
3,4/10/2021,22:50:24,Rat,1
3,4/10/2021,22:56:34,Rat,1
7,4/10/2021,8:11:38,Gray Squirrel,1
7,4/10/2021,15:12:17,Gray Squirrel,1
7,4/10/2021,17:38:11,Gray Squirrel,1
7,4/10/2021,19:13:03,45 Opossum,1
7,4/10/2021,22:14:36,45 Opossum,1
7,4/10/2021,23:19:46,45 Opossum,1
21,4/10/2021,13:11:08,Bird,1
21,4/10/2021,14:14:24,Bird,1
21,4/10/2021,16:07:00,Bird,1
21,4/10/2021,16:44:41,Bird,1
21,4/10/2021,17:38:38,Bird,1
21,4/10/2021,18:24:27,Bird,1
21,4/10/2021,15:26:47,Gray Squirrel,1
21,4/10/2021,15:32:48,Gray Squirrel,1
48,4/10/2021,23:28:16,Raccoon,1
48,4/10/2021,21:07:40,45 Opossum,1
48,4/10/2021,21:37:00,45 Opossum,1
48,4/10/2021,21:51:13,45 Opossum,1
48,4/10/2021,21:57:16,45 Opossum,1
48,4/10/2021,22:03:20,45 Opossum,1
3,4/11/2021,10:28:44,Gray Squirrel,1
3,4/11/2021,10:36:40,Gray Squirrel,1
3,4/11/2021,11:06:27,Gray Squirrel,1
3,4/11/2021,20:29:20,Rat,1
3,4/11/2021,20:48:26,Rat,1
3,4/11/2021,21:01:57,Rat,1
3,4/11/2021,21:39:35,Rat,1
3,4/11/2021,22:00:19,Rat,1
3,4/11/2021,22:23:50,Rat,1
3,4/11/2021,22:39:01,Rat,1
7,4/11/2021,18:42:25,White-tailed Deer,1
21,4/11/2021,8:09:38,Bird,1
21,4/11/2021,9:19:39,Bird,1
21,4/11/2021,9:53:40,Bird,1
21,4/11/2021,10:30:01,Bird,1
21,4/11/2021,11:17:48,Bird,1
21,4/11/2021,14:18:52,Bird,1
21,4/11/2021,16:04:26,Bird,1
21,4/11/2021,16:15:56,Bird,1
21,4/11/2021,17:11:29,Bird,1
21,4/11/2021,18:49:55,Bird,1
21,4/11/2021,9:47:43,Gray Squirrel,1
21,4/11/2021,11:06:06,Gray Squirrel,1
21,4/11/2021,23:53:44,45 Opossum,1
29,4/11/2021,11:30:20,Bird,1
29,4/11/2021,11:42:48,Bird,1
29,4/11/2021,12:05:45,Bird,1
29,4/11/2021,12:16:48,Bird,1
29,4/11/2021,14:16:40,Groundhog,1
30,4/11/2021,14:14:56,Domestic Cat,1
32,4/11/2021,14:38:10,Domestic Cat,1
32,4/11/2021,16:34:15,Domestic Cat,1
32,4/11/2021,20:00:17,Domestic Cat,1
32,4/11/2021,20:19:36,Domestic Cat,1
32,4/11/2021,20:37:16,Domestic Cat,1
32,4/11/2021,23:07:11,Domestic Cat,1
32,4/11/2021,23:22:57,Domestic Cat,1
48,4/11/2021,20:57:22,45 Opossum,1
48,4/11/2021,23:07:44,45 Opossum,1
3,4/12/2021,20:34:17,Rat,1
3,4/12/2021,21:06:21,Rat,1
3,4/12/2021,21:57:43,Rat,1
3,4/12/2021,22:48:21,Rat,1
3,4/12/2021,23:21:43,Rat,1
7,4/12/2021,10:08:56,Gray Squirrel,1
21,4/12/2021,9:50:36,Bird,1
21,4/12/2021,11:24:02,Bird,1
21,4/12/2021,12:28:38,Bird,1
21,4/12/2021,15:28:46,Bird,1
21,4/12/2021,16:53:51,Bird,1
21,4/12/2021,18:53:51,Bird,1
21,4/12/2021,19:18:06,Bird,1
21,4/12/2021,8:40:37,Gray Squirrel,1
21,4/12/2021,8:54:28,Gray Squirrel,1
21,4/12/2021,10:09:19,Gray Squirrel,1
21,4/12/2021,12:59:55,Gray Squirrel,1
21,4/12/2021,13:05:21,Gray Squirrel,1
21,4/12/2021,17:30:36,Gray Squirrel,1
21,4/12/2021,17:36:46,Gray Squirrel,1
21,4/12/2021,21:49:18,45 Opossum,1
29,4/12/2021,16:32:51,Bird,1
29,4/12/2021,9:44:15,Groundhog,1
29,4/12/2021,23:01:48,45 Opossum,1
32,4/12/2021,8:00:24,Domestic Cat,1
32,4/12/2021,8:21:53,Domestic Cat,1
32,4/12/2021,8:44:21,Domestic Cat,1
32,4/12/2021,12:12:50,Domestic Cat,1
32,4/12/2021,13:19:06,Domestic Cat,1
32,4/12/2021,18:25:14,Domestic Cat,1
48,4/12/2021,22:45:21,Rat,1
48,4/12/2021,20:57:22,45 Opossum,1
48,4/12/2021,22:26:34,45 Opossum,1
48,4/12/2021,22:36:42,45 Opossum,1
48,4/12/2021,23:41:41,45 Opossum,1
3,4/13/2021,12:52:09,Gray Squirrel,1
3,4/13/2021,22:46:09,Rat,1
7,4/13/2021,20:47:59,45 Opossum,1
7,4/13/2021,21:17:54,45 Opossum,1
21,4/13/2021,9:31:39,Bird,1
21,4/13/2021,14:28:48,Bird,1
21,4/13/2021,17:48:50,Bird,1
21,4/13/2021,8:34:11,Gray Squirrel,1
21,4/13/2021,9:41:43,Gray Squirrel,1
21,4/13/2021,10:28:01,Gray Squirrel,1
21,4/13/2021,21:12:38,45 Opossum,1
21,4/13/2021,21:35:59,45 Opossum,1
29,4/13/2021,17:04:51,Bird,1
29,4/13/2021,9:52:27,Groundhog,1
29,4/13/2021,17:29:21,Groundhog,1
32,4/13/2021,13:21:23,Domestic Cat,1
32,4/13/2021,13:28:35,Domestic Cat,1
32,4/13/2021,13:48:21,Domestic Cat,1
32,4/13/2021,14:04:00,Domestic Cat,1
32,4/13/2021,18:55:04,Domestic Cat,1
32,4/13/2021,20:06:44,Domestic Cat,1
48,4/13/2021,21:43:07,Raccoon,1
48,4/13/2021,20:56:25,45 Opossum,1
48,4/13/2021,21:07:27,45 Opossum,1
48,4/13/2021,21:27:34,45 Opossum,1
3,4/14/2021,15:53:48,Bird,1
3,4/14/2021,9:53:26,Gray Squirrel,1
3,4/14/2021,17:59:11,Gray Squirrel,1
3,4/14/2021,22:10:49,Rat,1
3,4/14/2021,22:32:54,Rat,1
3,4/14/2021,23:55:38,Rat,1
21,4/14/2021,14:43:37,Bird,1
21,4/14/2021,17:30:28,Bird,1
21,4/14/2021,14:08:17,Domestic Cat,1
21,4/14/2021,9:41:16,Gray Squirrel,1
29,4/14/2021,13:15:38,Groundhog,1
29,4/14/2021,14:57:05,White-tailed Deer,1
29,4/14/2021,16:02:55,White-tailed Deer,1
32,4/14/2021,9:18:43,Domestic Cat,1
32,4/14/2021,14:42:08,Domestic Cat,1
32,4/14/2021,20:49:14,Domestic Cat,1
48,4/14/2021,23:32:16,Rat,1
48,4/14/2021,20:47:03,45 Opossum,1
48,4/14/2021,21:11:22,45 Opossum,1
48,4/14/2021,21:17:05,45 Opossum,1
3,4/15/2021,13:03:42,Gray Squirrel,1
3,4/15/2021,21:10:12,Rat,1
3,4/15/2021,23:39:04,Rat,1
7,4/15/2021,19:25:32,45 Opossum,1
7,4/15/2021,20:51:30,45 Opossum,1
7,4/15/2021,21:32:28,45 Opossum,1
21,4/15/2021,13:07:25,Bird,1
21,4/15/2021,14:45:03,Bird,1
21,4/15/2021,13:41:24,Gray Squirrel,1
21,4/15/2021,14:03:29,Gray Squirrel,1
21,4/15/2021,14:56:55,Gray Squirrel,1
21,4/15/2021,21:37:53,45 Opossum,1
21,4/15/2021,22:48:31,45 Opossum,1
29,4/15/2021,18:19:33,Groundhog,1
29,4/15/2021,8:28:54,White-tailed Deer,1
32,4/15/2021,15:49:08,Domestic Cat,1
32,4/15/2021,15:55:53,Domestic Cat,1
32,4/15/2021,20:25:22,Domestic Cat,1
32,4/15/2021,22:00:07,Domestic Cat,1
48,4/15/2021,23:24:13,45 Opossum,1
48,4/15/2021,23:45:44,45 Opossum,1
3,4/16/2021,13:04:04,Gray Squirrel,1
3,4/16/2021,14:04:09,Gray Squirrel,1
3,4/16/2021,17:45:07,Gray Squirrel,1
3,4/16/2021,20:32:43,Rat,1
3,4/16/2021,20:41:51,Rat,1
3,4/16/2021,21:05:07,Rat,1
3,4/16/2021,21:16:44,Rat,1
3,4/16/2021,21:36:28,Rat,1
3,4/16/2021,21:45:14,Rat,1
3,4/16/2021,22:34:52,Rat,1
7,4/16/2021,8:15:02,Gray Squirrel,1
7,4/16/2021,19:37:39,Raccoon,1
7,4/16/2021,20:23:15,Red Fox,1
21,4/16/2021,11:52:31,Gray Squirrel,1
21,4/16/2021,12:07:25,Gray Squirrel,1
21,4/16/2021,13:52:28,Gray Squirrel,1
29,4/16/2021,10:41:34,Groundhog,1
29,4/16/2021,13:59:37,Groundhog,1
29,4/16/2021,23:34:08,Raccoon,1
29,4/16/2021,12:05:34,White-tailed Deer,1
32,4/16/2021,9:13:58,Domestic Cat,1
32,4/16/2021,10:54:42,Domestic Cat,1
32,4/16/2021,12:48:47,Domestic Cat,1
32,4/16/2021,18:35:29,Domestic Cat,1
32,4/16/2021,20:36:27,Domestic Cat,1
32,4/16/2021,21:12:24,Domestic Cat,1
32,4/16/2021,21:31:53,Domestic Cat,1
32,4/16/2021,21:50:03,Domestic Cat,1
32,4/16/2021,22:40:49,Domestic Cat,1
32,4/16/2021,16:42:16,Gray Squirrel,1
48,4/16/2021,22:39:42,Rat,1
48,4/16/2021,22:12:18,45 Opossum,1
48,4/16/2021,22:22:19,45 Opossum,1
48,4/16/2021,22:34:17,45 Opossum,1
48,4/16/2021,22:55:09,45 Opossum,1
3,4/17/2021,13:35:42,Domestic Dog,1
3,4/17/2021,13:55:45,Domestic Dog,1
3,4/17/2021,13:03:00,Gray Squirrel,1
3,4/17/2021,20:19:48,Rat,1
3,4/17/2021,20:36:32,Rat,1
3,4/17/2021,20:42:16,Rat,1
3,4/17/2021,21:40:05,Rat,1
3,4/17/2021,23:26:02,Rat,1
3,4/17/2021,23:44:44,Rat,1
7,4/17/2021,19:37:56,45 Opossum,1
7,4/17/2021,19:43:08,45 Opossum,1
7,4/17/2021,22:22:27,45 Opossum,1
21,4/17/2021,15:14:55,Bird,1
21,4/17/2021,17:13:14,Bird,1
21,4/17/2021,18:05:45,Bird,1
21,4/17/2021,19:04:26,Bird,1
29,4/17/2021,19:02:37,Bird,1
29,4/17/2021,19:21:23,Bird,1
29,4/17/2021,19:44:32,Gray Squirrel,1
29,4/17/2021,14:26:10,Groundhog,1
32,4/17/2021,9:00:42,Domestic Cat,1
32,4/17/2021,10:38:28,Domestic Cat,1
32,4/17/2021,10:47:48,Domestic Cat,1
32,4/17/2021,20:00:07,Domestic Cat,1
32,4/17/2021,21:35:03,Domestic Cat,1
32,4/17/2021,22:14:20,Domestic Cat,1
32,4/17/2021,23:12:26,Domestic Cat,1
32,4/17/2021,23:22:20,Domestic Cat,1
32,4/17/2021,17:56:41,Gray Squirrel,1
48,4/17/2021,21:47:34,45 Opossum,1
48,4/17/2021,22:05:44,45 Opossum,1
99,4/17/2021,14:50:02,Bird,1
101,4/17/2021,23:40:54,Domestic Cat,1
3,4/18/2021,18:05:48,Gray Squirrel,1
3,4/18/2021,20:26:36,Rat,1
3,4/18/2021,20:27:18,Rat,1
3,4/18/2021,20:38:19,Rat,1
3,4/18/2021,20:47:36,Rat,1
3,4/18/2021,21:13:52,Rat,1
3,4/18/2021,21:24:04,Rat,1
7,4/18/2021,19:08:01,45 Opossum,1
7,4/18/2021,21:53:06,45 Opossum,1
7,4/18/2021,22:08:33,45 Opossum,1
21,4/18/2021,9:14:32,Bird,1
21,4/18/2021,9:55:04,Bird,1
21,4/18/2021,8:04:44,Gray Squirrel,1
21,4/18/2021,8:11:46,Gray Squirrel,1
29,4/18/2021,14:11:40,Bird,1
29,4/18/2021,13:06:07,Gray Squirrel,1
29,4/18/2021,14:01:56,Groundhog,1
29,4/18/2021,20:49:53,45 Opossum,1
29,4/18/2021,11:08:44,White-tailed Deer,1
29,4/18/2021,11:18:16,White-tailed Deer,1
29,4/18/2021,11:27:45,White-tailed Deer,1
29,4/18/2021,11:37:07,White-tailed Deer,1
32,4/18/2021,14:56:19,Domestic Cat,1
32,4/18/2021,17:14:05,Domestic Cat,1
32,4/18/2021,17:57:18,Domestic Cat,1
32,4/18/2021,22:03:59,Domestic Cat,1
32,4/18/2021,22:52:03,Domestic Cat,1
32,4/18/2021,19:07:43,Gray Squirrel,1
48,4/18/2021,22:18:12,Mouse,1
48,4/18/2021,23:54:54,Mouse,1
48,4/18/2021,21:13:51,45 Opossum,1
48,4/18/2021,21:30:14,45 Opossum,1
101,4/18/2021,13:10:30,Bird,1
101,4/18/2021,22:00:54,Domestic Cat,1
3,4/19/2021,11:39:11,Gray Squirrel,1
3,4/19/2021,23:24:06,Rat,1
